id,label,sortlabel,url
alarmdecoder,Alarm Decoder,alarm decoder, http://docs.openhab.org/addons/bindings/alarmdecoder1/readme.html
anel,Anel NET-PwrCtrl,anel net-pwrctrl, http://docs.openhab.org/addons/bindings/anel1/readme.html
asterisk,Asterisk,asterisk, http://docs.openhab.org/addons/bindings/asterisk1/readme.html
autelis,Autelis,autelis, http://docs.openhab.org/addons/bindings/autelis1/readme.html
benqprojector,BenQ Projector,benq projector, http://docs.openhab.org/addons/bindings/benqprojector1/readme.html
bluetooth,Bluetooth,bluetooth, http://docs.openhab.org/addons/bindings/bluetooth1/readme.html
bticino,Bticino,bticino, http://docs.openhab.org/addons/bindings/bticino1/readme.html
cups,CUPS,cups, http://docs.openhab.org/addons/bindings/cups1/readme.html
daikin,Daikin,daikin, http://docs.openhab.org/addons/bindings/daikin1/readme.html
davis,Davis,davis, http://docs.openhab.org/addons/bindings/davis1/readme.html
ddwrt,DD-WRT,dd-wrt, http://docs.openhab.org/addons/bindings/ddwrt1/readme.html
denon,Denon,denon, http://docs.openhab.org/addons/bindings/denon1/readme.html
digitalstrom,digitalSTROM,digitalstrom, http://docs.openhab.org/addons/bindings/digitalstrom1/readme.html
diyonxbee,DIYOnXBee,diyonxbee, http://docs.openhab.org/addons/bindings/diyonxbee1/readme.html
dscalarm,DSC PowerSeries Alarm System,dsc powerseries alarm system, http://docs.openhab.org/addons/bindings/dscalarm1/readme.html
ebus,eBUS,ebus, http://docs.openhab.org/addons/bindings/ebus1/readme.html
ecobee,Ecobee,ecobee, http://docs.openhab.org/addons/bindings/ecobee1/readme.html
ecotouch,EcoTouch,ecotouch, http://docs.openhab.org/addons/bindings/ecotouch1/readme.html
ekey,ekey,ekey, http://docs.openhab.org/addons/bindings/ekey1/readme.html
energenie,Energenie,energenie, http://docs.openhab.org/addons/bindings/energenie1/readme.html
enocean,EnOcean,enocean, http://docs.openhab.org/addons/bindings/enocean1/readme.html
enphaseenergy,Enphase Energy,enphase energy, http://docs.openhab.org/addons/bindings/enphaseenergy1/readme.html
epsonprojector,Epson Projector,epson projector, http://docs.openhab.org/addons/bindings/epsonprojector1/readme.html
fatekplc,Fatek PLC,fatek plc, http://docs.openhab.org/addons/bindings/fatekplc1/readme.html
freebox,Freebox,freebox, http://docs.openhab.org/addons/bindings/freebox1/readme.html
freeswitch,FreeSWITCH,freeswitch, http://docs.openhab.org/addons/bindings/freeswitch1/readme.html
garadget,Garadget,garadget, http://docs.openhab.org/addons/bindings/garadget1/readme.html
heatmiser,Heatmiser,heatmiser, http://docs.openhab.org/addons/bindings/heatmiser1/readme.html
homematic,Homematic,homematic, http://docs.openhab.org/addons/bindings/homematic1/readme.html
http,HTTP,http, http://docs.openhab.org/addons/bindings/http1/readme.html
hue,Hue,hue, http://docs.openhab.org/addons/bindings/hue1/readme.html
insteonplm,Insteon PLM,insteon plm, http://docs.openhab.org/addons/bindings/insteonplm1/readme.html
knx,KNX,knx, http://docs.openhab.org/addons/bindings/knx1/readme.html
lcn,LCN,lcn, http://docs.openhab.org/addons/bindings/lcn1/readme.html
lgtv,LG TV,lg tv, http://docs.openhab.org/addons/bindings/lgtv1/readme.html
modbus,Modbus,modbus, http://docs.openhab.org/addons/bindings/modbus1/readme.html
mqtt,MQTT,mqtt, http://docs.openhab.org/addons/bindings/mqtt1/readme.html
nest,Nest,nest, http://docs.openhab.org/addons/bindings/nest1/readme.html
netatmo,Netatmo,netatmo, http://docs.openhab.org/addons/bindings/netatmo1/readme.html
onkyo,Onkyo AV Receiver,onkyo av receiver, http://docs.openhab.org/addons/bindings/onkyo1/readme.html
opensprinkler,OpenSprinkler,opensprinkler, http://docs.openhab.org/addons/bindings/opensprinkler1/readme.html
pioneeravr,Pioneer AV Receiver (1.x),pioneer av receiver (1.x), http://docs.openhab.org/addons/bindings/pioneeravr1/readme.html
plex,Plex,plex, http://docs.openhab.org/addons/bindings/plex1/readme.html
pulseaudio,Pulseaudio,pulseaudio, http://docs.openhab.org/addons/bindings/pulseaudio1/readme.html
rfxcom,RFXCOM,rfxcom, http://docs.openhab.org/addons/bindings/rfxcom1/readme.html
samsungtv,Samsung TV,samsung tv, http://docs.openhab.org/addons/bindings/samsungtv1/readme.html
sonos,Sonos,sonos, http://docs.openhab.org/addons/bindings/sonos1/readme.html
squeezebox,Squeezebox,squeezebox, http://docs.openhab.org/addons/bindings/squeezebox1/readme.html
tellstick,Tellstick,tellstick, http://docs.openhab.org/addons/bindings/tellstick1/readme.html
urtsi,Somfy URTSI II,somfy urtsi ii, http://docs.openhab.org/addons/bindings/urtsi1/readme.html
wemo,Wemo,wemo, http://docs.openhab.org/addons/bindings/wemo1/readme.html
yamahareceiver,Yamaha Receiver (1.x),yamaha receiver (1.x), http://docs.openhab.org/addons/bindings/yamahareceiver1/readme.html
zwave,Z-Wave,z-wave, http://docs.openhab.org/addons/bindings/zwave1/readme.html
digitalstrom,digitalSTROM,digitalstrom, http://docs.openhab.org/addons/bindings/digitalstrom/readme.html
fsinternetradio,FS Internet Radio,fs internet radio, http://docs.openhab.org/addons/bindings/fsinternetradio/readme.html
hue,Philips Hue,philips hue, http://docs.openhab.org/addons/bindings/hue/readme.html
lifx,LIFX,lifx, http://docs.openhab.org/addons/bindings/lifx/readme.html
sonos,Sonos,sonos, http://docs.openhab.org/addons/bindings/sonos/readme.html
wemo,Belkin Wemo,belkin wemo, http://docs.openhab.org/addons/bindings/wemo/readme.html
yahooweather,YahooWeather,yahooweather, http://docs.openhab.org/addons/bindings/yahooweather/readme.html
allplay,AllPlay,allplay, http://docs.openhab.org/addons/bindings/allplay/readme.html
amazondashbutton,Amazon Dash Button,amazon dash button, http://docs.openhab.org/addons/bindings/amazondashbutton/readme.html
autelis,Autelis Pool Control,autelis pool control, http://docs.openhab.org/addons/bindings/autelis/readme.html
avmfritz,AVM FRITZ!,avm fritz!, http://docs.openhab.org/addons/bindings/avmfritz/readme.html
chromecast,Chromecast,chromecast, http://docs.openhab.org/addons/bindings/chromecast/readme.html
coolmasternet,CoolMasterNet,coolmasternet, http://docs.openhab.org/addons/bindings/coolmasternet/readme.html
dscalarm,DSC Alarm,dsc alarm, http://docs.openhab.org/addons/bindings/dscalarm/readme.html
freebox,Freebox,freebox, http://docs.openhab.org/addons/bindings/freebox/readme.html
globalcache,GlobalCache,globalcache, http://docs.openhab.org/addons/bindings/globalcache/readme.html
hdpowerview,Hunter Douglas PowerView,hunter douglas powerview, http://docs.openhab.org/addons/bindings/hdpowerview/readme.html
homematic,Homematic,homematic, http://docs.openhab.org/addons/bindings/homematic/readme.html
keba,Keba,keba, http://docs.openhab.org/addons/bindings/keba/readme.html
kodi,Kodi,kodi, http://docs.openhab.org/addons/bindings/kodi/readme.html
kostalinverter,Kostal inverter,kostal inverter, http://docs.openhab.org/addons/bindings/kostalinverter/readme.html
lutron,Lutron,lutron, http://docs.openhab.org/addons/bindings/lutron/readme.html
